Var,Model,Scenario,Ensemble,1981-2010,2011-2040,2041-2070,2071-2100,Note
tas,CanESM2,RCP8.5,r1i1p1,11.890110722294583,1.7629139087818277,3.4075613798918543,5.854343470820673,"Baseline partially forced by RCP2.6, RCP4.5, RCP8.5"
tas,CCSM4,RCP2.6,r1i1p1,8.279269048902746,1.4410742229885525,1.487378205193414,1.4374222013685447,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,CCSM4,RCP4.5,r1i1p1,8.279269048902746,1.0809839248657234,2.4504198074340824,2.5875667360093857,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,CCSM4,RCP6.0,r1i1p1,8.279269048902746,1.0569886313544377,1.5417053434583874,2.7408102459377712,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,CCSM4,RCP8.5,r1i1p1,8.279269048902746,1.4497808880276146,2.9733402040269645,4.721862051222059,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,CESM1-BGC,RCP4.5,r1i1p1,8.355905596415223,0.9330305947197832,2.2878199895222995,2.6507474899292003,"Baseline partially forced by RCP4.5, RCP8.5"
tas,CESM1-BGC,RCP8.5,r1i1p1,8.355905596415223,1.140527407328289,3.001222038269045,4.66188242170546,"Baseline partially forced by RCP4.5, RCP8.5"
tas,CESM1-CAM5,RCP2.6,r1i1p1,6.9048941294352435,1.406991704305014,2.1367710961235904,2.1657746632893886,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,CESM1-CAM5,RCP4.5,r1i1p1,6.9048941294352435,1.6249085744222018,2.8129227108425567,3.885740534464519,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,CESM1-CAM5,RCP6.0,r1i1p1,6.9048941294352435,0.992135238647462,2.038284598456489,4.043301603529189,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,CESM1-CAM5,RCP8.5,r1i1p1,6.9048941294352435,1.6455031077067055,3.600326750013563,5.524168014526367,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,CMCC-CESM,RCP8.5,r1i1p1,5.075008053249806,0.9784706963433161,2.865501319037543,4.818461015489366,Baseline partially forced by RCP8.5
tas,CMCC-CM,RCP4.5,r1i1p1,6.418353356255448,1.0613616095648872,2.306303405761719,3.0377749125162765,"Baseline partially forced by RCP4.5, RCP8.5"
tas,CMCC-CM,RCP8.5,r1i1p1,6.418353356255448,1.136658732096354,2.9886091444227425,5.095669555664063,"Baseline partially forced by RCP4.5, RCP8.5"
tas,CMCC-CMS,RCP4.5,r1i1p1,6.091804292466929,1.4299303266737189,2.4878289540608716,3.142788145277235,"Baseline partially forced by RCP4.5, RCP8.5"
tas,CMCC-CMS,RCP8.5,r1i1p1,6.091804292466929,1.1667818281385625,3.2612818823920353,5.551048151652019,"Baseline partially forced by RCP4.5, RCP8.5"
tas,CNRM-CM5,RCP2.6,r1i1p1,6.330818487096739,1.273935049551504,1.92318686026114,1.7847236068160441,"Baseline partially forced by RCP2.6, RCP4.5, RCP8.5"
tas,CNRM-CM5,RCP4.5,r1i1p1,6.330818487096739,0.8341772573965569,1.9062379907678668,NA,"Baseline partially forced by RCP2.6, RCP4.5, RCP8.5"
tas,CNRM-CM5,RCP8.5,r1i1p1,6.330818487096739,1.0960852163809314,2.978351027877242,NA,"Baseline partially forced by RCP2.6, RCP4.5, RCP8.5"
tas,CSIRO-Mk3.6.0,RCP2.6,r1i1p1,6.855913458930145,1.3269557529025597,1.974790022108289,2.139324951171874,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,CSIRO-Mk3.6.0,RCP4.5,r1i1p1,6.855913458930145,1.1805480109320747,2.3884907192654072,3.03596954345703,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,CSIRO-Mk3.6.0,RCP6.0,r1i1p1,6.855913458930145,0.9550900777180988,1.7002015855577248,3.356451585557725,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,CSIRO-Mk3.6.0,RCP8.5,r1i1p1,6.855913458930145,0.9675855000813796,3.1158959282769096,5.37109892103407,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,EC-EARTH,RCP4.5,r1i1p1,7.481761257890365,1.1170133765768897,1.6449167850512803,2.0023368798592243,"Baseline partially forced by RCP4.5, RCP8.5"
tas,EC-EARTH,RCP8.5,r1i1p1,7.481761257890365,0.8650046417678618,1.9701742347311866,3.729132415476628,"Baseline partially forced by RCP4.5, RCP8.5"
tas,FGOALS-g2,RCP2.6,r1i1p1,3.0753996107313597,0.5948786417643226,1.349375661214193,1.4332271152072478,NA
tas,FGOALS-g2,RCP4.5,r1i1p1,3.0753996107313597,1.4839959886338976,1.980587853325738,2.32890379163954,NA
tas,FGOALS-g2,RCP8.5,r1i1p1,3.0753996107313597,1.1891587999131943,3.2238714430067272,5.522739410400391,NA
tas,FGOALS-s2,RCP8.5,r1i1p1,9.915983581542992,1.7090144687228719,4.054942067464191,5.9858573913574205,Baseline partially forced by RCP8.5
tas,FIO-ESM,RCP2.6,r1i1p1,7.834342871771941,0.44457533094618107,0.505473073323568,0.2304787529839416,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,FIO-ESM,RCP4.5,r1i1p1,7.834342871771941,0.7987642076280377,1.271197594536675,1.2332087198893227,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,FIO-ESM,RCP6.0,r1i1p1,7.834342871771941,0.8532906426323787,1.2222486707899307,1.8905522664388013,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,FIO-ESM,RCP8.5,r1i1p1,7.834342871771941,0.9549423217773434,2.209200965033636,4.048677402072482,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,GFDL-CM3,RCP2.6,r1i1p1,7.201467704772972,1.6568674087524418,2.734055688646105,3.112746365865073,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,GFDL-CM3,RCP4.5,r1i1p1,7.201467704772972,1.577135827806261,3.423576800028483,4.079082764519585,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,GFDL-CM3,RCP6.0,r1i1p1,7.201467704772972,1.9498143725925026,2.8667030546400287,4.627051141526964,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,GFDL-CM3,RCP8.5,r1i1p1,7.201467704772972,2.0011898676554374,4.186302460564507,6.720938131544326,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,GFDL-ESM2G,RCP2.6,r1i1p1,6.210025978088401,0.5546679814656583,0.8216193940904413,0.7170510821872291,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,GFDL-ESM2G,RCP4.5,r1i1p1,6.210025978088401,0.8588329527113174,1.4596133550008146,1.4454195446438263,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
tas,GFDL-ESM2G,RCP6.0,r1i1p1,6.210025978088401,0.7185197406344948,1.5633316675821947,2.3864597532484275,"Baseline partially forced by RCP2.6, RCP4.5, RCP6.0, RCP8.5"
