Var,Model,Scenario,Ensemble,1981-2010,2011-2040,2041-2070,2071-2100
tas,GFDL-ESM2M,RCP2.6,r1i1p1,NA,7.929204559326195,7.98217951456708,7.819300587972028
tas,GFDL-ESM2M,RCP4.5,r1i1p1,NA,7.765473514133053,8.405489688449459,8.55427907307945
tas,GFDL-ESM2M,RCP6.0,r1i1p1,NA,7.629184214274111,8.369423675537131,9.204669104682097
tas,GFDL-ESM2M,RCP8.5,r1i1p1,NA,7.819750552707271,9.190566253662132,10.575021701388911
tas,GISS-E2-H,historical/RCP2.6,r1i1p1,7.9972560458713335,NA,NA,NA
tas,GISS-E2-H,historical/RCP4.5,r1i1p1,7.982327948676238,NA,NA,NA
tas,GISS-E2-H,historical/RCP6.0,r1i1p1,7.901844448513478,NA,NA,NA
tas,GISS-E2-H,historical/RCP8.5,r1i1p1,7.932368299696203,NA,NA,NA
tas,GISS-E2-H,RCP2.6,r1i1p1,NA,8.882266828748937,9.276565212673633,8.850856696234832
tas,GISS-E2-H,RCP4.5,r1i1p1,NA,9.313227420383052,10.222846561008051,10.656086815728104
tas,GISS-E2-H,RCP6.0,r1i1p1,NA,8.964600541856576,9.678385670979841,10.542080095079232
tas,GISS-E2-H,RCP8.5,r1i1p1,NA,9.381317816840301,10.767736731635223,12.207706620958138
tas,GISS-E2-H-CC,historical,r1i1p1,7.841925896538651,NA,NA,NA
tas,GISS-E2-H-CC,RCP4.5,r1i1p1,NA,9.24554384019642,10.18737487792971,10.451216464572505
tas,GISS-E2-H-CC,RCP8.5,r1i1p1,NA,8.969028218587262,10.61463809543188,12.083950297037783
tas,GISS-E2-R,historical/RCP2.6,r1i1p1,7.832125515408009,NA,NA,NA
tas,GISS-E2-R,historical/RCP4.5,r1i1p1,7.786036512586828,NA,NA,NA
tas,GISS-E2-R,historical/RCP6.0,r1i1p1,7.743094126383486,NA,NA,NA
tas,GISS-E2-R,historical/RCP8.5,r1i1p1,7.8260355631510645,NA,NA,NA
tas,GISS-E2-R,RCP2.6,r1i1p1,NA,8.567866770426456,8.600192769368512,8.238154856363956
tas,GISS-E2-R,RCP4.5,r1i1p1,NA,8.759646775987436,9.680447811550588,9.823316107855925
tas,GISS-E2-R,RCP6.0,r1i1p1,NA,8.637669118245466,8.975207180447072,10.258015696207705
tas,GISS-E2-R,RCP8.5,r1i1p1,NA,8.962629360622852,10.24279488457576,11.569459364149328
tas,GISS-E2-R-CC,historical,r1i1p1,7.869524553087046,NA,NA,NA
tas,GISS-E2-R-CC,RCP4.5,r1i1p1,NA,8.811675347222245,9.659059990776932,9.71506050957576
tas,GISS-E2-R-CC,RCP8.5,r1i1p1,NA,8.848579661051454,10.238964674207923,11.558389536539735
tas,HadCM3,historical/RCP4.5,r1i1p1,5.99019944932728,NA,NA,NA
tas,HadGEM2-AO,historical/RCP2.6,r1i1p1,7.541351572672549,NA,NA,NA
tas,HadGEM2-AO,historical/RCP4.5,r1i1p1,7.663882742987761,NA,NA,NA
tas,HadGEM2-AO,historical/RCP6.0,r1i1p1,7.483316251966711,NA,NA,NA
tas,HadGEM2-AO,historical/RCP8.5,r1i1p1,7.541083950466603,NA,NA,NA
tas,HadGEM2-AO,RCP2.6,r1i1p1,NA,8.487111621432858,9.345048862033442,9.527841398451086
tas,HadGEM2-AO,RCP4.5,r1i1p1,NA,9.763337877061655,10.986860656738305,11.72635192871096
tas,HadGEM2-AO,RCP6.0,r1i1p1,NA,8.286486180623395,9.664679039849197,11.336463334825327
tas,HadGEM2-AO,RCP8.5,r1i1p1,NA,8.996228366427975,11.358698611789302,13.99245291815866
tas,HadGEM2-CC,historical/RCP4.5,r1i1p1,5.081326463487436,NA,NA,NA
tas,HadGEM2-CC,historical/RCP8.5,r1i1p1,5.177651977539085,NA,NA,NA
tas,HadGEM2-CC,RCP4.5,r1i1p1,NA,7.098813035753061,8.54080505371096,9.863792080349414
